group,draw,alpha,beta,min_h_f,min_h_r,effort,rear_buffer,rear_end,front_collision,clears_dmin
A,0,0.34629664396571924,0.19305933432986416,5.527617211305994,2.911641405046524,41.95543147104522,0.0,0,0,1
B,0,0.34629664396571924,0.19305933432986416,1.7065862487848733,0.8145110218800227,25.460840393159494,0.0,0,0,0
C,0,0.34629664396571924,0.19305933432986416,1.4495418088802268,1.1170431845164188,25.84312501877312,0.7289492385434203,0,0,1
D,0,0.34629664396571924,0.19305933432986416,1.4745269097663254,1.1045264731357634,25.7283208517892,0.5,0,0,1
A,1,0.23186691659574937,0.1590213142150343,5.24614213703947,2.079743532144505,42.0973008425278,0.0,0,0,1
B,1,0.23186691659574937,0.1590213142150343,1.7101240888733429,-2.099506216780057,26.54611278200614,0.0,1,0,0
C,1,0.23186691659574937,0.1590213142150343,1.4903298399953115,0.441215526488719,25.339443235226756,1.1124470767568653,0,0,0
D,1,0.23186691659574937,0.1590213142150343,2.153100096261724,0.9562582796016841,26.61233692263809,0.5,0,0,0
A,2,0.3801478859264523,0.2794743495861258,5.653339629221094,3.196161791811676,42.39068061353287,0.0,0,0,1
B,2,0.3801478859264523,0.2794743495861258,1.80458559371057,1.7710060887981314,25.75752084511836,0.0,0,0,1
C,2,0.3801478859264523,0.2794743495861258,6.728567355283715,2.225025919040405,37.32022838376658,0.9624889420503125,0,0,1
D,2,0.3801478859264523,0.2794743495861258,1.5110450070047818,1.7196341915589386,24.113678207694292,0.5,0,0,1
A,3,0.34047406894729854,0.2548443377962494,5.58593718298485,3.015219142379948,42.36243784293052,0.0,0,0,1
B,3,0.34047406894729854,0.2548443377962494,1.7365762651457146,1.2818458078447321,25.239437496709286,0.0,0,0,1
C,3,0.34047406894729854,0.2548443377962494,1.5582913364164455,1.494804301734419,25.421295478536287,0.7052736269741916,0,0,1
D,3,0.34047406894729854,0.2548443377962494,1.5034585312916278,1.3837925402737312,24.696939530716794,0.5,0,0,1
A,4,0.3283759983613612,0.2824737337570761,5.592568945014094,3.0237861604599914,42.60342000715919,0.0,0,0,1
B,4,0.3283759983613612,0.2824737337570761,1.7431315457979792,1.3707624332674584,25.131577051589492,0.0,0,0,1
