group,draw,alpha,beta,min_h_f,min_h_r,effort,rear_buffer,rear_end,front_collision,clears_dmin
A,0.0,0.34629664396571924,0.19305933432986416,5.527617211305994,2.911641405046524,41.95543147104522,0.0,0.0,0.0,1.0
B,0.0,0.34629664396571924,0.19305933432986416,1.7065862487848733,0.8145110218800227,25.460840393159494,0.0,0.0,0.0,0.0
C,0.0,0.34629664396571924,0.19305933432986416,3.962072351529585,2.0684644772011467,34.10923593888653,0.9789492385434203,0.0,0.0,1.0
D,0.0,0.34629664396571924,0.19305933432986416,1.433375101581916,1.152299087930885,25.864462377711643,0.75,0.0,0.0,1.0
A,1.0,0.23186691659574937,0.1590213142150343,5.24614213703947,2.079743532144505,42.0973008425278,0.0,0.0,0.0,1.0
B,1.0,0.23186691659574937,0.1590213142150343,1.7101240888733429,-2.099506216780057,26.54611278200614,0.0,1.0,0.0,0.0
C,1.0,0.23186691659574937,0.1590213142150343,1.4962823678816193,0.5587155031169573,25.414037833385382,1.3624470767568653,0.0,0.0,0.0
D,1.0,0.23186691659574937,0.1590213142150343,2.1724826080457547,1.105263479512459,26.674497205415516,0.75,0.0,0.0,1.0
A,2.0,0.3801478859264523,0.2794743495861258,5.653339629221094,3.196161791811676,42.39068061353287,0.0,0.0,0.0,1.0
B,2.0,0.3801478859264523,0.2794743495861258,1.80458559371057,1.7710060887981314,25.75752084511836,0.0,0.0,0.0,1.0
C,2.0,0.3801478859264523,0.2794743495861258,7.5842687392402155,2.236348569020663,38.02795274025326,1.2124889420503124,0.0,0.0,1.0
D,2.0,0.3801478859264523,0.2794743495861258,1.456866104134832,1.7415606825058347,24.078604808493935,0.75,0.0,0.0,1.0
A,3.0,0.34047406894729854,0.2548443377962494,5.58593718298485,3.015219142379948,42.36243784293052,0.0,0.0,0.0,1.0
B,3.0,0.34047406894729854,0.2548443377962494,1.7365762651457146,1.2818458078447321,25.239437496709286,0.0,0.0,0.0,1.0
C,3.0,0.34047406894729854,0.2548443377962494,6.7578749292559905,2.029689396291502,37.29691284106281,0.9552736269741916,0.0,0.0,1.0
D,3.0,0.34047406894729854,0.2548443377962494,1.4448053298847583,1.3990037937086441,24.98627465834734,0.75,0.0,0.0,1.0
A,4.0,0.3283759983613612,0.2824737337570761,5.592568945014094,3.0237861604599914,42.60342000715919,0.0,0.0,0.0,1.0
B,4.0,0.3283759983613612,0.2824737337570761,1.7431315457979792,1.3707624332674584,25.131577051589492,0.0,0.0,0.0,1.0
C,4.0,0.3283759983613612,0.2824737337570761,7.004002192672175,2.021042396357643,37.26100328951165,1.017398928473749,0.0,0.0,1.0
D,4.0,0.3283759983613612,0.2824737337570761,1.4564043180694597,1.4496730540606961,24.66325331120546,0.75,0.0,0.0,1.0
A,5.0,0.3806438823913342,0.1571680544228679,5.52673755622186,2.952699405769195,41.63730325586717,0.0,0.0,0.0,1.0
B,5.0,0.3806438823913342,0.1571680544228679,1.6982092454780542,0.9225280064645034,25.556318610862572,0.0,0.0,0.0,0.0
C,5.0,0.3806438823913342,0.1571680544228679,7.082520689285914,2.2227616050420096,39.177066183308376,1.259903311873865,0.0,0.0,1.0
D,5.0,0.3806438823913342,0.1571680544228679,2.522737313158359,2.312772859009442,28.814213713515826,0.75,0.0,0.0,1.0
A,6.0,0.38862162110481335,0.16131390132105441,5.5407504497835305,2.986040114316765,41.65310779183283,0.0,0.0,0.0,1.0
B,6.0,0.38862162110481335,0.16131390132105441,1.702375716968092,1.054543184833733,25.534087516025295,0.0,0.0,0.0,1.0
C,6.0,0.38862162110481335,0.16131390132105441,7.3719429763875866,2.237547693537948,39.14816525042862,1.2752308791350357,0.0,0.0,1.0
D,6.0,0.38862162110481335,0.16131390132105441,1.4056346970067466,1.3258019546759527,25.748335113246256,0.75,0.0,0.0,1.0
A,7.0,0.3640938457145493,0.18040811540898394,5.5339235691264435,2.9492825646721883,41.84504321044699,0.0,0.0,0.0,1.0
B,7.0,0.3640938457145493,0.18040811540898394,1.7065798731239852,0.9242977639965915,25.46587108062205,0.0,0.0,0.0,0.0
C,7.0,0.3640938457145493,0.18040811540898394,6.972230764228826,2.0798360302184022,38.38520710837496,1.1007429212222615,0.0,0.0,1.0
D,7.0,0.3640938457145493,0.18040811540898394,2.5250652703230543,2.313865097056393,28.630276361072916,0.75,0.0,0.0,1.0
A,8.0,0.38973035309117826,0.22957238800147794,5.617385645553895,3.1316142456203693,42.06112686150032,0.0,0.0,0.0,1.0
B,8.0,0.38973035309117826,0.22957238800147794,1.7609473034896297,1.5572274470140144,25.673185004449273,0.0,0.0,0.0,1.0
C,8.0,0.38973035309117826,0.22957238800147794,7.045231647130905,2.2337766050337535,37.92147837215283,1.051210964370625,0.0,0.0,1.0
D,8.0,0.38973035309117826,0.22957238800147794,1.422634887942479,1.5909841271446794,24.8236295310776,0.75,0.0,0.0,1.0
A,9.0,0.28154468298317786,0.2136091625289653,5.444886584761818,2.6299016226616345,42.32492859079264,0.0,0.0,0.0,1.0
B,9.0,0.28154468298317786,0.2136091625289653,1.685783771901086,0.03930878858413678,25.58784469999914,0.0,0.0,0.0,0.0
C,9.0,0.28154468298317786,0.2136091625289653,2.117282173217461,2.0334732098826436,26.146797596489847,0.9453846179514274,0.0,0.0,1.0
D,9.0,0.28154468298317786,0.2136091625289653,2.5687713882251018,2.250129709778591,27.73700125068025,0.75,0.0,0.0,1.0
A,10.0,0.22943737685992888,0.1735036723615414,5.2687009228326644,2.0870860656919206,42.245258813401406,0.0,0.0,0.0,1.0
B,10.0,0.22943737685992888,0.1735036723615414,1.6951086894973315,-1.8704571616231078,26.291479168105447,0.0,1.0,0.0,0.0
C,10.0,0.22943737685992888,0.1735036723615414,1.518572545844421,0.6536859128245425,25.300601669468545,1.3142358031141188,0.0,0.0,0.0
D,10.0,0.22943737685992888,0.1735036723615414,2.1964202890112006,1.1997800123410656,26.6488739233698,0.75,0.0,0.0,1.0
A,11.0,0.35275988762117705,0.2437822703555792,5.590932089118283,3.038607751229904,42.25587151477086,0.0,0.0,0.0,1.0
B,11.0,0.35275988762117705,0.2437822703555792,1.7397124087511173,1.3219530220735578,25.354152005623636,0.0,0.0,0.0,1.0
C,11.0,0.35275988762117705,0.2437822703555792,6.7596917270983,2.0910312416674657,37.42557112140361,0.960168631907025,0.0,0.0,1.0
D,11.0,0.35275988762117705,0.2437822703555792,1.437696849301446,1.429820598493535,25.04209291950221,0.75,0.0,0.0,1.0
A,12.0,0.34215394140440075,0.20836626329279714,5.539790350663367,2.926144907103634,42.070072834398104,0.0,0.0,0.0,1.0
B,12.0,0.34215394140440075,0.20836626329279714,1.7110255137015145,0.9069661362916293,25.322227334279276,0.0,0.0,0.0,0.0
C,12.0,0.34215394140440075,0.20836626329279714,3.775885654660243,2.06781892603135,33.46818574124992,0.9011507124464144,0.0,0.0,1.0
D,12.0,0.34215394140440075,0.20836626329279714,1.4228772529902045,1.1690620408641763,25.677286128056053,0.75,0.0,0.0,1.0
A,13.0,0.41546430767152853,0.2886242695315253,5.6957711436695035,3.304454475003226,42.32912562775721,0.0,0.0,0.0,1.0
B,13.0,0.41546430767152853,0.2886242695315253,1.8611234239091772,2.0101960814105837,26.20943370761307,0.0,0.0,0.0,1.0
C,13.0,0.41546430767152853,0.2886242695315253,8.183192826361392,2.412842605005835,38.553721621698465,1.3903543088122152,0.0,0.0,1.0
D,13.0,0.41546430767152853,0.2886242695315253,1.4665299892789534,1.9219277635893377,23.92338493387531,0.75,0.0,0.0,1.0
A,14.0,0.3556240610202934,0.24422172673039452,5.595837784255863,3.050049118231314,42.24335210135524,0.0,0.0,0.0,1.0
